HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
44010,ONEIDA COUNTY,TOWN OF LAKE TOMAHAWK,665,903,73.64%,645,915,70.49%
44012,ONEIDA COUNTY,TOWN OF LITTLE RICE,227,279,81.36%,222,283,78.45%
44014,ONEIDA COUNTY,TOWN OF LYNNE,87,124,70.16%,81,125,64.80%
44016,ONEIDA COUNTY,TOWN OF MINOCQUA,"3,105","3,765",82.47%,"3,090","3,828",80.72%
44018,ONEIDA COUNTY,TOWN OF MONICO,158,256,61.72%,156,251,62.15%
44020,ONEIDA COUNTY,TOWN OF NEWBOLD,"1,720","2,210",77.83%,"1,740","2,234",77.89%
44022,ONEIDA COUNTY,TOWN OF NOKOMIS,883,"1,143",77.25%,852,"1,186",71.84%
44024,ONEIDA COUNTY,TOWN OF PELICAN,"1,532","2,252",68.03%,"1,502","2,296",65.42%
44026,ONEIDA COUNTY,TOWN OF PIEHL,55,71,77.46%,47,73,64.38%
44028,ONEIDA COUNTY,TOWN OF PINE LAKE,"1,598","2,202",72.57%,"1,622","2,227",72.83%
44030,ONEIDA COUNTY,TOWN OF SCHOEPKE,247,344,71.80%,231,343,67.35%
44032,ONEIDA COUNTY,TOWN OF STELLA,369,515,71.65%,376,513,73.29%
44034,ONEIDA COUNTY,TOWN OF SUGAR CAMP,"1,121","1,378",81.35%,"1,140","1,389",82.07%
44036,ONEIDA COUNTY,TOWN OF THREE LAKES,"1,523","1,804",84.42%,"1,569","1,835",85.50%
44038,ONEIDA COUNTY,TOWN OF WOODBORO,535,682,78.45%,535,694,77.09%
44040,ONEIDA COUNTY,TOWN OF WOODRUFF,"1,295","1,644",78.77%,"1,285","1,666",77.13%
45201,OUTAGAMIE COUNTY,CITY OF APPLETON,"31,621","45,672",69.23%,"30,324","46,592",65.08%
45241,OUTAGAMIE COUNTY,CITY OF KAUKAUNA,"7,751","11,650",66.53%,"7,587","11,924",63.63%
45261,OUTAGAMIE COUNTY,CITY OF NEW LONDON,691,"1,185",58.31%,645,"1,202",53.66%
45281,OUTAGAMIE COUNTY,CITY OF SEYMOUR,"1,720","2,534",67.88%,"1,685","2,555",65.95%
45002,OUTAGAMIE COUNTY,TOWN OF BLACK CREEK,668,959,69.66%,683,957,71.37%
45004,OUTAGAMIE COUNTY,TOWN OF BOVINA,643,869,73.99%,632,884,71.49%
45006,OUTAGAMIE COUNTY,TOWN OF BUCHANAN,"3,955","4,893",80.83%,"3,822","4,933",77.48%
45008,OUTAGAMIE COUNTY,TOWN OF CENTER,"2,100","2,637",79.64%,"2,116","2,717",77.88%
45010,OUTAGAMIE COUNTY,TOWN OF CICERO,558,830,67.23%,515,838,61.46%
45012,OUTAGAMIE COUNTY,TOWN OF DALE,"1,564","2,041",76.63%,"1,591","2,092",76.05%
45014,OUTAGAMIE COUNTY,TOWN OF DEER CREEK,289,507,57.00%,284,514,55.25%
45016,OUTAGAMIE COUNTY,TOWN OF ELLINGTON,"1,566","2,083",75.18%,"1,660","2,195",75.63%
45018,OUTAGAMIE COUNTY,TOWN OF FREEDOM,"3,229","4,226",76.41%,"3,258","4,320",75.42%
45020,OUTAGAMIE COUNTY,TOWN OF GRAND CHUTE,"11,778","17,099",68.88%,"11,733","17,849",65.73%
45022,OUTAGAMIE COUNTY,TOWN OF GREENVILLE,"6,106","7,485",81.58%,"6,540","8,202",79.74%
45024,OUTAGAMIE COUNTY,TOWN OF HORTONIA,618,826,74.82%,636,829,76.72%
45026,OUTAGAMIE COUNTY,TOWN OF KAUKAUNA,717,919,78.02%,726,951,76.34%
45028,OUTAGAMIE COUNTY,TOWN OF LIBERTY,468,645,72.56%,512,654,78.29%
45030,OUTAGAMIE COUNTY,TOWN OF MAINE,433,679,63.77%,459,691,66.43%
45032,OUTAGAMIE COUNTY,TOWN OF MAPLE CREEK,319,479,66.60%,314,477,65.83%
45034,OUTAGAMIE COUNTY,TOWN OF ONEIDA,"2,102","3,301",63.68%,"1,924","3,338",57.64%
45036,OUTAGAMIE COUNTY,TOWN OF OSBORN,674,866,77.83%,709,889,79.75%
45038,OUTAGAMIE COUNTY,TOWN OF SEYMOUR,608,889,68.39%,626,891,70.26%
45040,OUTAGAMIE COUNTY,TOWN OF VANDENBROEK,888,"1,111",79.93%,896,"1,152",77.78%
45106,OUTAGAMIE COUNTY,VILLAGE OF BEAR CREEK,138,325,42.46%,144,327,44.04%
45107,OUTAGAMIE COUNTY,VILLAGE OF BLACK CREEK,617,934,66.06%,652,941,69.29%
45111,OUTAGAMIE COUNTY,VILLAGE OF COMBINED LOCKS,"1,951","2,422",80.55%,"2,043","2,540",80.43%
,OUTAGAMIE COUNTY,VILLAGE OF HARRISON,0,0,,0,0,
45136,OUTAGAMIE COUNTY,VILLAGE OF HORTONVILLE,"1,510","1,986",76.03%,"1,484","2,010",73.83%
45137,OUTAGAMIE COUNTY,VILLAGE OF HOWARD,0,0,,0,0,
45141,OUTAGAMIE COUNTY,VILLAGE OF KIMBERLY,"3,636","4,977",73.06%,"3,589","5,100",70.37%
45146,OUTAGAMIE COUNTY,VILLAGE OF LITTLE CHUTE,"5,481","7,915",69.25%,"5,434","8,380",64.84%
45155,OUTAGAMIE COUNTY,VILLAGE OF NICHOLS,106,199,53.27%,114,199,57.29%
45181,OUTAGAMIE COUNTY,VILLAGE OF SHIOCTON,431,675,63.85%,414,680,60.88%
45191,OUTAGAMIE COUNTY,VILLAGE OF WRIGHTSTOWN,107,112,95.54%,117,127,92.13%
46211,OZAUKEE COUNTY,CITY OF CEDARBURG,"7,261","8,658",83.86%,"7,198","8,777",82.01%
46255,OZAUKEE COUNTY,CITY OF MEQUON,"15,750","17,941",87.79%,"15,591","18,555",84.03%
46271,OZAUKEE COUNTY,CITY OF PORT WASHINGTON,"6,711","8,792",76.33%,"6,560","9,011",72.80%
46002,OZAUKEE COUNTY,TOWN OF BELGIUM,904,"1,099",82.26%,910,"1,115",81.61%
46004,OZAUKEE COUNTY,TOWN OF CEDARBURG,"4,103","4,261",96.29%,"4,024","4,369",92.10%
46006,OZAUKEE COUNTY,TOWN OF FREDONIA,"1,279","1,680",76.13%,"1,261","1,686",74.79%
46008,OZAUKEE COUNTY,TOWN OF GRAFTON,"2,925","3,244",90.17%,"2,811","3,305",85.05%
46012,OZAUKEE COUNTY,TOWN OF PORT WASHINGTON,"1,002","1,258",79.65%,954,"1,274",74.88%
46014,OZAUKEE COUNTY,TOWN OF SAUKVILLE,"1,233","1,456",84.68%,"1,194","1,466",81.45%
46105,OZAUKEE COUNTY,VILLAGE OF BAYSIDE,83,73,113.70%,82,76,107.89%
46106,OZAUKEE COUNTY,VILLAGE OF BELGIUM,"1,283","1,590",80.69%,"1,262","1,629",77.47%
46126,OZAUKEE COUNTY,VILLAGE OF FREDONIA,"1,250","1,583",78.96%,"1,245","1,616",77.04%
46131,OZAUKEE COUNTY,VILLAGE OF GRAFTON,"7,290","8,899",81.92%,"7,066","9,021",78.33%
46161,OZAUKEE COUNTY,VILLAGE OF NEWBURG,48,80,60.00%,18,80,22.50%
46181,OZAUKEE COUNTY,VILLAGE OF SAUKVILLE,"2,457","3,308",74.27%,"2,278","3,318",68.66%
46186,OZAUKEE COUNTY,VILLAGE OF THIENSVILLE,"2,162","2,567",84.22%,"2,069","2,572",80.44%
47216,PEPIN COUNTY,CITY OF DURAND,903,"1,500",60.20%,886,"1,467",60.40%
47002,PEPIN COUNTY,TOWN OF ALBANY,304,474,64.14%,330,477,69.18%
47004,PEPIN COUNTY,TOWN OF DURAND,362,556,65.11%,361,563,64.12%
47006,PEPIN COUNTY,TOWN OF FRANKFORT,185,274,67.52%,171,281,60.85%
47008,PEPIN COUNTY,TOWN OF LIMA,322,518,62.16%,315,511,61.64%
47010,PEPIN COUNTY,TOWN OF PEPIN,404,576,70.14%,404,584,69.18%
47012,PEPIN COUNTY,TOWN OF STOCKHOLM,137,165,83.03%,145,167,86.83%
47014,PEPIN COUNTY,TOWN OF WATERVILLE,405,656,61.74%,431,658,65.50%
47016,PEPIN COUNTY,TOWN OF WAUBEEK,221,299,73.91%,233,305,76.39%
47171,PEPIN COUNTY,VILLAGE OF PEPIN,429,710,60.42%,406,709,57.26%
47181,PEPIN COUNTY,VILLAGE OF STOCKHOLM,49,60,81.67%,57,61,93.44%
48271,PIERCE COUNTY,CITY OF PRESCOTT,"2,098","3,168",66.22%,"2,148","3,185",67.44%
48276,PIERCE COUNTY,CITY OF RIVER FALLS,"5,392","10,001",53.91%,"5,532","10,097",54.79%
48002,PIERCE COUNTY,TOWN OF CLIFTON,"1,251","1,469",85.16%,"1,227","1,502",81.69%
48004,PIERCE COUNTY,TOWN OF DIAMOND BLUFF,262,367,71.39%,273,366,74.59%
48008,PIERCE COUNTY,TOWN OF EL PASO,384,533,72.05%,650,550,118.18%
48006,PIERCE COUNTY,TOWN OF ELLSWORTH,654,889,73.57%,385,903,42.64%
48010,PIERCE COUNTY,TOWN OF GILMAN,555,719,77.19%,573,734,78.07%
48012,PIERCE COUNTY,TOWN OF HARTLAND,470,655,71.76%,497,669,74.29%
48014,PIERCE COUNTY,TOWN OF ISABELLE,151,226,66.81%,157,227,69.16%
48016,PIERCE COUNTY,TOWN OF MAIDEN ROCK,323,478,67.57%,327,487,67.15%
48018,PIERCE COUNTY,TOWN OF MARTELL,701,910,77.03%,670,921,72.75%
48020,PIERCE COUNTY,TOWN OF OAK GROVE,"1,223","1,518",80.57%,"1,288","1,544",83.42%
48022,PIERCE COUNTY,TOWN OF RIVER FALLS,"1,459","1,767",82.57%,"1,385","1,800",76.94%
48024,PIERCE COUNTY,TOWN OF ROCK ELM,244,381,64.04%,236,385,61.30%
48026,PIERCE COUNTY,TOWN OF SALEM,267,375,71.20%,259,385,67.27%
48028,PIERCE COUNTY,TOWN OF SPRING LAKE,333,445,74.83%,330,457,72.21%
48030,PIERCE COUNTY,TOWN OF TRENTON,989,"1,416",69.84%,968,"1,429",67.74%
48032,PIERCE COUNTY,TOWN OF TRIMBELLE,945,"1,282",73.71%,936,"1,294",72.33%
48034,PIERCE COUNTY,TOWN OF UNION,304,455,66.81%,322,446,72.20%
48106,PIERCE COUNTY,VILLAGE OF BAY CITY,185,368,50.27%,206,368,55.98%
48121,PIERCE COUNTY,VILLAGE OF ELLSWORTH,"1,462","2,427",60.24%,"1,376","2,457",56.00%
48122,PIERCE COUNTY,VILLAGE OF ELMWOOD,413,637,64.84%,387,640,60.47%
48151,PIERCE COUNTY,VILLAGE OF MAIDEN ROCK,80,90,88.89%,82,92,89.13%
48171,PIERCE COUNTY,VILLAGE OF PLUM CITY,290,476,60.92%,287,475,60.42%
48181,PIERCE COUNTY,VILLAGE OF SPRING VALLEY,714,"1,013",70.48%,689,"1,021",67.48%
49201,POLK COUNTY,CITY OF AMERY,"1,335","2,276",58.66%,"1,341","2,273",59.00%
49281,POLK COUNTY,CITY OF ST. CROIX FALLS,"1,116","1,666",66.99%,"1,095","1,650",66.36%
49002,POLK COUNTY,TOWN OF ALDEN,"1,570","2,108",74.48%,"1,541","2,120",72.69%
49004,POLK COUNTY,TOWN OF APPLE RIVER,603,880,68.52%,614,892,68.83%
49006,POLK COUNTY,TOWN OF BALSAM LAKE,763,"1,115",68.43%,785,"1,113",70.53%
49008,POLK COUNTY,TOWN OF BEAVER,438,652,67.18%,445,657,67.73%
49010,POLK COUNTY,TOWN OF BLACK BROOK,727,"1,017",71.48%,733,"1,029",71.23%
49012,POLK COUNTY,TOWN OF BONE LAKE,388,563,68.92%,395,568,69.54%
49014,POLK COUNTY,TOWN OF CLAM FALLS,293,477,61.43%,275,490,56.12%
49016,POLK COUNTY,TOWN OF CLAYTON,495,748,66.18%,491,756,64.95%
49018,POLK COUNTY,TOWN OF CLEAR LAKE,422,660,63.94%,448,660,67.88%
49020,POLK COUNTY,TOWN OF EUREKA,897,"1,269",70.69%,929,"1,292",71.90%
49022,POLK COUNTY,TOWN OF FARMINGTON,"1,013","1,363",74.32%,"1,031","1,373",75.09%
49024,POLK COUNTY,TOWN OF GARFIELD,907,"1,291",70.26%,869,"1,302",66.74%
49026,POLK COUNTY,TOWN OF GEORGETOWN,563,799,70.46%,544,811,67.08%
49028,POLK COUNTY,TOWN OF JOHNSTOWN,279,409,68.22%,266,407,65.36%
49030,POLK COUNTY,TOWN OF LAKETOWN,547,759,72.07%,565,772,73.19%
49032,POLK COUNTY,TOWN OF LINCOLN,"1,260","1,731",72.79%,"1,251","1,765",70.88%
49034,POLK COUNTY,TOWN OF LORAIN,162,219,73.97%,163,217,75.12%
49036,POLK COUNTY,TOWN OF LUCK,504,733,68.76%,525,723,72.61%
49038,POLK COUNTY,TOWN OF MCKINLEY,199,285,69.82%,191,286,66.78%
49040,POLK COUNTY,TOWN OF MILLTOWN,672,971,69.21%,682,978,69.73%
49042,POLK COUNTY,TOWN OF OSCEOLA,"1,553","2,043",76.02%,"1,620","2,061",78.60%
49044,POLK COUNTY,TOWN OF ST. CROIX FALLS,626,904,69.25%,668,906,73.73%
49046,POLK COUNTY,TOWN OF STERLING,354,624,56.73%,338,618,54.69%
49048,POLK COUNTY,TOWN OF WEST SWEDEN,379,558,67.92%,396,556,71.22%
49106,POLK COUNTY,VILLAGE OF BALSAM LAKE,465,842,55.23%,437,843,51.84%
49111,POLK COUNTY,VILLAGE OF CENTURIA,345,694,49.71%,311,703,44.24%
49112,POLK COUNTY,VILLAGE OF CLAYTON,205,381,53.81%,196,380,51.58%
49113,POLK COUNTY,VILLAGE OF CLEAR LAKE,488,798,61.15%,496,796,62.31%
49116,POLK COUNTY,VILLAGE OF DRESSER,431,652,66.10%,424,659,64.34%
49126,POLK COUNTY,VILLAGE OF FREDERIC,496,845,58.70%,512,850,60.24%
49146,POLK COUNTY,VILLAGE OF LUCK,523,876,59.70%,561,878,63.90%
49151,POLK COUNTY,VILLAGE OF MILLTOWN,374,695,53.81%,388,697,55.67%
49165,POLK COUNTY,VILLAGE OF OSCEOLA,"1,233","1,911",64.52%,"1,189","1,942",61.23%
49186,POLK COUNTY,VILLAGE OF TURTLE LAKE,32,62,51.61%,34,62,54.84%
50281,PORTAGE COUNTY,CITY OF STEVENS POINT,"14,807","22,886",64.70%,"13,868","22,831",60.74%
50002,PORTAGE COUNTY,TOWN OF ALBAN,482,691,69.75%,490,691,70.91%
50004,PORTAGE COUNTY,TOWN OF ALMOND,381,518,73.55%,392,516,75.97%
50006,PORTAGE COUNTY,TOWN OF AMHERST,846,"1,037",81.58%,834,"1,048",79.58%
50008,PORTAGE COUNTY,TOWN OF BELMONT,355,508,69.88%,347,512,67.77%
50010,PORTAGE COUNTY,TOWN OF BUENA VISTA,673,916,73.47%,657,919,71.49%
50012,PORTAGE COUNTY,TOWN OF CARSON,784,"1,019",76.94%,814,"1,025",79.41%
50014,PORTAGE COUNTY,TOWN OF DEWEY,594,735,80.82%,582,744,78.23%
50016,PORTAGE COUNTY,TOWN OF EAU PLEINE,542,740,73.24%,581,770,75.45%
50018,PORTAGE COUNTY,TOWN OF GRANT,"1,102","1,493",73.81%,"1,126","1,500",75.07%
50020,PORTAGE COUNTY,TOWN OF HULL,"3,251","4,141",78.51%,"3,243","4,187",77.45%
50022,PORTAGE COUNTY,TOWN OF LANARK,877,"1,152",76.13%,862,"1,163",74.12%
50024,PORTAGE COUNTY,TOWN OF LINWOOD,665,865,76.88%,660,867,76.12%
50026,PORTAGE COUNTY,TOWN OF NEW HOPE,485,585,82.91%,487,582,83.68%
50028,PORTAGE COUNTY,TOWN OF PINE GROVE,384,707,54.31%,369,706,52.27%
50030,PORTAGE COUNTY,TOWN OF PLOVER,883,"1,323",66.74%,881,"1,347",65.40%
50032,PORTAGE COUNTY,TOWN OF SHARON,"1,211","1,566",77.33%,"1,219","1,587",76.81%
50034,PORTAGE COUNTY,TOWN OF STOCKTON,"1,735","2,228",77.87%,"1,785","2,272",78.57%
50101,PORTAGE COUNTY,VILLAGE OF ALMOND,193,319,60.50%,198,314,63.06%
50102,PORTAGE COUNTY,VILLAGE OF AMHERST,564,742,76.01%,565,759,74.44%
50103,PORTAGE COUNTY,VILLAGE OF AMHERST JUNCTION,199,268,74.25%,204,269,75.84%
50141,PORTAGE COUNTY,VILLAGE OF JUNCTION CITY,205,307,66.78%,187,309,60.52%
50151,PORTAGE COUNTY,VILLAGE OF MILLADORE,104,0,#DIV/0!,3,0,#DIV/0!
50161,PORTAGE COUNTY,VILLAGE OF NELSONVILLE,88,114,77.19%,95,118,80.51%
50171,PORTAGE COUNTY,VILLAGE OF PARK RIDGE,338,381,88.71%,349,383,91.12%
50173,PORTAGE COUNTY,VILLAGE OF PLOVER,"6,602","9,287",71.09%,"6,471","9,519",67.98%
50176,PORTAGE COUNTY,VILLAGE OF ROSHOLT,229,369,62.06%,248,360,68.89%
50191,PORTAGE COUNTY,VILLAGE OF WHITING,977,"1,441",67.80%,979,"1,435",68.22%
51271,PRICE COUNTY,CITY OF PARK FALLS,"1,196","1,944",61.52%,"1,059","1,966",53.87%
51272,PRICE COUNTY,CITY OF PHILLIPS,689,"1,160",59.40%,621,"1,156",53.72%
51002,PRICE COUNTY,TOWN OF CATAWBA,139,200,69.50%,137,205,66.83%
51004,PRICE COUNTY,TOWN OF EISENSTEIN,389,528,73.67%,352,528,66.67%
51006,PRICE COUNTY,TOWN OF ELK,648,844,76.78%,622,857,72.58%
51008,PRICE COUNTY,TOWN OF EMERY,191,237,80.59%,187,235,79.57%
51010,PRICE COUNTY,TOWN OF FIFIELD,578,768,75.26%,561,779,72.02%
51012,PRICE COUNTY,TOWN OF FLAMBEAU,283,391,72.38%,287,390,73.59%
51014,PRICE COUNTY,TOWN OF GEORGETOWN,90,135,66.67%,87,135,64.44%
51016,PRICE COUNTY,TOWN OF HACKETT,114,146,78.08%,116,145,80.00%
51018,PRICE COUNTY,TOWN OF HARMONY,140,190,73.68%,134,190,70.53%
51020,PRICE COUNTY,TOWN OF HILL,182,258,70.54%,200,261,76.63%
51022,PRICE COUNTY,TOWN OF KENNAN,176,273,64.47%,166,270,61.48%
51024,PRICE COUNTY,TOWN OF KNOX,179,296,60.47%,166,296,56.08%
51026,PRICE COUNTY,TOWN OF LAKE,698,949,73.55%,664,961,69.09%
51028,PRICE COUNTY,TOWN OF OGEMA,381,555,68.65%,412,568,72.54%
51030,PRICE COUNTY,TOWN OF PRENTICE,239,360,66.39%,238,367,64.85%
51032,PRICE COUNTY,TOWN OF SPIRIT,181,226,80.09%,178,232,76.72%
51034,PRICE COUNTY,TOWN OF WORCESTER,"1,028","1,271",80.88%,994,"1,293",76.88%
51111,PRICE COUNTY,VILLAGE OF CATAWBA,59,93,63.44%,56,88,63.64%
51141,PRICE COUNTY,VILLAGE OF KENNAN,65,114,57.02%,64,109,58.72%
51171,PRICE COUNTY,VILLAGE OF PRENTICE,304,487,62.42%,276,491,56.21%
52206,RACINE COUNTY,CITY OF BURLINGTON,"5,392","7,869",68.52%,"5,167","7,990",64.67%
52276,RACINE COUNTY,CITY OF RACINE,"36,009","57,075",63.09%,"29,606","56,948",51.99%
52002,RACINE COUNTY,TOWN OF BURLINGTON,"3,608","4,974",72.54%,"3,431","5,008",68.51%
52006,RACINE COUNTY,TOWN OF DOVER,"2,443","3,200",76.34%,"1,947","3,266",59.61%
52010,RACINE COUNTY,TOWN OF NORWAY,"4,939","6,086",81.15%,"4,765","6,133",77.69%
52012,RACINE COUNTY,TOWN OF RAYMOND,"2,466","2,977",82.84%,"2,420","3,045",79.47%
52016,RACINE COUNTY,TOWN OF WATERFORD,"3,918","4,739",82.68%,"3,724","4,777",77.96%
52018,RACINE COUNTY,TOWN OF YORKVILLE,"1,898","2,362",80.36%,"1,796","2,386",75.27%
52104,RACINE COUNTY,VILLAGE OF CALEDONIA,"15,429","19,221",80.27%,"14,644","19,486",75.15%
52121,RACINE COUNTY,VILLAGE OF ELMWOOD PARK,338,388,87.11%,310,390,79.49%
52151,RACINE COUNTY,VILLAGE OF MOUNT PLEASANT,"16,903","20,926",80.78%,"14,831","21,177",70.03%
52161,RACINE COUNTY,VILLAGE OF NORTH BAY,175,181,96.69%,152,177,85.88%
52176,RACINE COUNTY,VILLAGE OF ROCHESTER,"2,232","2,787",80.09%,"2,217","2,851",77.76%
52181,RACINE COUNTY,VILLAGE OF STURTEVANT,"2,928","5,773",50.72%,"2,678","5,764",46.46%
52186,RACINE COUNTY,VILLAGE OF UNION GROVE,"2,558","3,633",70.41%,"2,370","3,655",64.84%
52191,RACINE COUNTY,VILLAGE OF WATERFORD,"2,983","3,927",75.96%,"2,894","3,959",73.10%
52192,RACINE COUNTY,VILLAGE OF WIND POINT,"1,260","1,397",90.19%,"1,181","1,387",85.15%
53276,RICHLAND COUNTY,CITY OF RICHLAND CENTER,"2,505","4,058",61.73%,"2,180","4,074",53.51%
53002,RICHLAND COUNTY,TOWN OF AKAN,228,331,68.88%,218,323,67.49%
53004,RICHLAND COUNTY,TOWN OF BLOOM,230,374,61.50%,237,375,63.20%
53006,RICHLAND COUNTY,TOWN OF BUENA VISTA,"1,624","1,401",115.92%,764,"1,418",53.88%
53008,RICHLAND COUNTY,TOWN OF DAYTON,342,542,63.10%,336,536,62.69%
53010,RICHLAND COUNTY,TOWN OF EAGLE,264,413,63.92%,230,412,55.83%
53012,RICHLAND COUNTY,TOWN OF FOREST,177,280,63.21%,184,282,65.25%
53014,RICHLAND COUNTY,TOWN OF HENRIETTA,269,407,66.09%,242,405,59.75%
53016,RICHLAND COUNTY,TOWN OF ITHACA,320,485,65.98%,314,493,63.69%
53018,RICHLAND COUNTY,TOWN OF MARSHALL,320,438,73.06%,298,440,67.73%
53020,RICHLAND COUNTY,TOWN OF ORION,262,451,58.09%,275,454,60.57%
53022,RICHLAND COUNTY,TOWN OF RICHLAND,700,"1,098",63.75%,653,"1,093",59.74%
53024,RICHLAND COUNTY,TOWN OF RICHWOOD,252,425,59.29%,247,425,58.12%
53026,RICHLAND COUNTY,TOWN OF ROCKBRIDGE,404,560,72.14%,371,551,67.33%
53028,RICHLAND COUNTY,TOWN OF SYLVAN,236,382,61.78%,205,385,53.25%
53030,RICHLAND COUNTY,TOWN OF WESTFORD,270,403,67.00%,260,408,63.73%
53032,RICHLAND COUNTY,TOWN OF WILLOW,270,429,62.94%,239,432,55.32%
53106,RICHLAND COUNTY,VILLAGE OF BOAZ,68,127,53.54%,61,127,48.03%
53111,RICHLAND COUNTY,VILLAGE OF CAZENOVIA,158,239,66.11%,155,235,65.96%
53146,RICHLAND COUNTY,VILLAGE OF LONE ROCK,394,656,60.06%,374,653,57.27%
53186,RICHLAND COUNTY,VILLAGE OF VIOLA,193,338,57.10%,179,339,52.80%
53196,RICHLAND COUNTY,VILLAGE OF YUBA,39,57,68.42%,33,52,63.46%
54206,ROCK COUNTY,CITY OF BELOIT,"15,391","26,962",57.08%,"13,526","26,989",50.12%
54210,ROCK COUNTY,CITY OF BRODHEAD,30,88,34.09%,31,93,33.33%
54221,ROCK COUNTY,CITY OF EDGERTON,"2,867","4,007",71.55%,"2,749","4,059",67.73%
54222,ROCK COUNTY,CITY OF EVANSVILLE,"2,743","3,587",76.47%,"2,791","3,709",75.25%
54241,ROCK COUNTY,CITY OF JANESVILLE,"32,638","47,977",68.03%,"29,995","48,270",62.14%
54257,ROCK COUNTY,CITY OF MILTON,"3,018","4,109",73.45%,"2,931","4,112",71.28%
54002,ROCK COUNTY,TOWN OF AVON,342,475,72.00%,332,470,70.64%
54004,ROCK COUNTY,TOWN OF BELOIT,"4,221","6,020",70.12%,"4,112","6,027",68.23%
54006,ROCK COUNTY,TOWN OF BRADFORD,547,800,68.38%,528,788,67.01%
54008,ROCK COUNTY,TOWN OF CENTER,662,844,78.44%,644,842,76.48%
54010,ROCK COUNTY,TOWN OF CLINTON,529,697,75.90%,469,703,66.71%
54012,ROCK COUNTY,TOWN OF FULTON,"2,031","2,539",79.99%,"1,962","2,570",76.34%
54014,ROCK COUNTY,TOWN OF HARMONY,"1,559","1,885",82.71%,"1,545","1,896",81.49%
54016,ROCK COUNTY,TOWN OF JANESVILLE,"2,205","2,703",81.58%,"2,225","2,747",81.00%
54018,ROCK COUNTY,TOWN OF JOHNSTOWN,461,632,72.94%,468,623,75.12%
54020,ROCK COUNTY,TOWN OF LA PRAIRIE,507,670,75.67%,469,668,70.21%
54022,ROCK COUNTY,TOWN OF LIMA,658,962,68.40%,624,960,65.00%
54024,ROCK COUNTY,TOWN OF MAGNOLIA,433,596,72.65%,400,593,67.45%
54026,ROCK COUNTY,TOWN OF MILTON,"1,691","2,295",73.68%,"1,677","2,310",72.60%
54028,ROCK COUNTY,TOWN OF NEWARK,933,"1,228",75.98%,879,"1,227",71.64%
54030,ROCK COUNTY,TOWN OF PLYMOUTH,683,915,74.64%,690,907,76.07%
54032,ROCK COUNTY,TOWN OF PORTER,634,755,83.97%,602,759,79.31%
54034,ROCK COUNTY,TOWN OF ROCK,"1,522","2,523",60.33%,"1,423","2,525",56.36%
54036,ROCK COUNTY,TOWN OF SPRING VALLEY,416,607,68.53%,414,601,68.89%
54038,ROCK COUNTY,TOWN OF TURTLE,"1,485","1,868",79.50%,"1,426","1,866",76.42%
54040,ROCK COUNTY,TOWN OF UNION,"1,153","1,551",74.34%,"1,098","1,567",70.07%
54111,ROCK COUNTY,VILLAGE OF CLINTON,"1,023","1,561",65.53%,995,"1,543",64.48%
54126,ROCK COUNTY,VILLAGE OF FOOTVILLE,417,623,66.93%,406,622,65.27%
54165,ROCK COUNTY,VILLAGE OF ORFORDVILLE,712,"1,031",69.06%,657,"1,036",63.42%
55246,RUSK COUNTY,CITY OF LADYSMITH,"1,429","2,642",54.09%,"1,393","2,643",52.71%
55002,RUSK COUNTY,TOWN OF ATLANTA,310,493,62.88%,325,488,66.60%
55004,RUSK COUNTY,TOWN OF BIG BEND,262,330,79.39%,265,342,77.49%
55006,RUSK COUNTY,TOWN OF BIG FALLS,86,106,81.13%,80,106,75.47%
55008,RUSK COUNTY,TOWN OF CEDAR RAPIDS,24,33,72.73%,26,31,83.87%
55010,RUSK COUNTY,TOWN OF DEWEY,305,441,69.16%,300,449,66.82%
55012,RUSK COUNTY,TOWN OF FLAMBEAU,538,817,65.85%,528,829,63.69%
55014,RUSK COUNTY,TOWN OF GRANT,386,594,64.98%,366,600,61.00%
55016,RUSK COUNTY,TOWN OF GROW,219,325,67.38%,210,322,65.22%
55018,RUSK COUNTY,TOWN OF HAWKINS,80,129,62.02%,69,137,50.36%
55020,RUSK COUNTY,TOWN OF HUBBARD,104,155,67.10%,98,154,63.64%
55022,RUSK COUNTY,TOWN OF LAWRENCE,138,220,62.73%,129,219,58.90%
55024,RUSK COUNTY,TOWN OF MARSHALL,217,448,48.44%,203,455,44.62%
55026,RUSK COUNTY,TOWN OF MURRY,129,224,57.59%,127,227,55.95%
55028,RUSK COUNTY,TOWN OF RICHLAND,116,178,65.17%,110,180,61.11%
55030,RUSK COUNTY,TOWN OF RUSK,352,442,79.64%,320,453,70.64%
55032,RUSK COUNTY,TOWN OF SOUTH FORK,72,98,73.47%,69,96,71.88%
55034,RUSK COUNTY,TOWN OF STRICKLAND,144,235,61.28%,167,239,69.87%
55036,RUSK COUNTY,TOWN OF STUBBS,349,463,75.38%,314,470,66.81%
55038,RUSK COUNTY,TOWN OF THORNAPPLE,431,597,72.19%,419,613,68.35%
55040,RUSK COUNTY,TOWN OF TRUE,157,217,72.35%,152,217,70.05%
55042,RUSK COUNTY,TOWN OF WASHINGTON,215,282,76.24%,222,289,76.82%
55044,RUSK COUNTY,TOWN OF WILKINSON,26,35,74.29%,32,35,91.43%
